==== DQN Training Boxes Positions ====

==== Episode 1 START ====
    Step 25 | Box 21 placed at (3, 2, 9) rot=1, size=(3, 4, 1)
    Step 30 | Box 13 placed at (8, 6, 0) rot=5, size=(1, 1, 9)
    Step 46 | Box 8 placed at (5, 0, 8) rot=0, size=(1, 2, 2)
    Step 48 | Box 37 placed at (8, 6, 9) rot=5, size=(2, 1, 1)
    Step 49 | Box 49 placed at (6, 0, 8) rot=4, size=(2, 1, 1)
==== Episode 12 END ====
==== Episode 13 START ====
    Step 0 | Box 44 placed at (1, 0, 0) rot=5, size=(9, 4, 2)
    Step 1 | Box 4 placed at (0, 6, 0) rot=4, size=(5, 3, 4)
    Step 2 | Box 31 placed at (0, 0, 4) rot=2, size=(3, 9, 2)
    Step 3 | Box 48 placed at (4, 6, 4) rot=1, size=(6, 2, 4)
    Step 4 | Box 10 placed at (0, 3, 6) rot=2, size=(5, 3, 3)
    Step 5 | Box 11 placed at (5, 2, 2) rot=0, size=(5, 3, 3)
    Step 6 | Box 2 placed at (5, 0, 5) rot=3, size=(3, 3, 4)
    Step 7 | Box 9 placed at (2, 7, 8) rot=5, size=(6, 3, 2)
    Step 8 | Box 19 placed at (8, 0, 5) rot=4, size=(2, 6, 3)
    Step 9 | Box 21 placed at (5, 3, 8) rot=0, size=(5, 3, 2)
    Step 12 | Box 1 placed at (8, 8, 0) rot=0, size=(2, 2, 6)
    Step 13 | Box 20 placed at (0, 6, 6) rot=4, size=(2, 4, 3)
    Step 22 | Box 6 placed at (0, 2, 9) rot=2, size=(5, 3, 1)
    Step 33 | Box 37 placed at (0, 5, 9) rot=0, size=(2, 5, 1)
    Step 34 | Box 5 placed at (5, 0, 9) rot=5, size=(3, 3, 1)
    Step 37 | Box 7 placed at (8, 7, 8) rot=1, size=(2, 2, 2)
    Step 38 | Box 17 placed at (2, 6, 6) rot=0, size=(2, 1, 4)
    Step 39 | Box 18 placed at (8, 9, 6) rot=0, size=(2, 1, 4)
    Step 46 | Box 3 placed at (2, 5, 9) rot=5, size=(3, 1, 1)
    Step 47 | Box 28 placed at (5, 6, 8) rot=3, size=(3, 1, 1)
    Step 48 | Box 29 placed at (7, 6, 9) rot=3, size=(3, 1, 1)
    Step 49 | Box 32 placed at (4, 6, 9) rot=3, size=(3, 1, 1)
==== Episode 13 END ====
==== Episode 14 START ====
    Step 0 | Box 40 placed at (2, 4, 0) rot=4, size=(6, 2, 5)
    Step 1 | Box 7 placed at (5, 0, 5) rot=2, size=(4, 7, 2)
    Step 2 | Box 0 placed at (2, 0, 5) rot=2, size=(1, 10, 5)
    Step 3 | Box 28 placed at (0, 1, 0) rot=5, size=(2, 4, 6)
    Step 4 | Box 14 placed at (3, 4, 7) rot=2, size=(3, 5, 3)
    Step 5 | Box 19 placed at (0, 2, 6) rot=5, size=(2, 5, 4)
    Step 6 | Box 36 placed at (6, 5, 7) rot=2, size=(4, 5, 2)
    Step 7 | Box 22 placed at (6, 2, 7) rot=5, size=(4, 3, 3)
    Step 10 | Box 26 placed at (0, 7, 0) rot=4, size=(2, 3, 5)
    Step 11 | Box 27 placed at (0, 7, 5) rot=4, size=(2, 3, 5)
    Step 16 | Box 5 placed at (3, 0, 0) rot=3, size=(2, 3, 4)
    Step 17 | Box 48 placed at (3, 1, 4) rot=4, size=(2, 3, 4)
    Step 24 | Box 9 placed at (3, 0, 8) rot=2, size=(2, 4, 2)
    Step 26 | Box 15 placed at (3, 9, 0) rot=3, size=(3, 1, 5)
    Step 27 | Box 33 placed at (3, 9, 5) rot=0, size=(3, 1, 5)
    Step 28 | Box 8 placed at (6, 7, 9) rot=0, size=(4, 3, 1)
    Step 29 | Box 29 placed at (9, 0, 0) rot=1, size=(1, 2, 6)
    Step 38 | Box 35 placed at (0, 0, 6) rot=0, size=(2, 2, 2)
    Step 44 | Box 3 placed at (1, 0, 8) rot=2, size=(1, 2, 2)
    Step 45 | Box 30 placed at (0, 0, 8) rot=5, size=(1, 2, 2)
    Step 46 | Box 42 placed at (9, 1, 6) rot=5, size=(1, 1, 4)
    Step 47 | Box 44 placed at (5, 2, 7) rot=1, size=(1, 2, 2)
    Step 48 | Box 24 placed at (5, 2, 9) rot=3, size=(1, 2, 1)
==== Episode 14 END ====
==== Episode 15 START ====
    Step 0 | Box 4 placed at (5, 3, 0) rot=3, size=(5, 4, 3)
    Step 1 | Box 5 placed at (1, 4, 0) rot=2, size=(4, 3, 5)
